club_name,club_number_player,club_avg_age,club_league,club_number_foreign_players,club_number_national_players,club_stadium,club_stadium_seats,club_current_transfer_balance,player_position,player_number,player_name,player_dob,player_country,player_value
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Torwart,31,Ederson,17.08.1993 (29),Brasilien,"40,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Torwart,18,Stefan Ortega,06.11.1992 (30),Deutschland,"9,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Torwart,13,Zack Steffen,02.04.1995 (28),Vereinigte Staaten,"3,50 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Torwart,33,Scott Carson,03.09.1985 (37),England,200 Tsd. €
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,3,Rúben Dias,14.05.1997 (26),Portugal,"80,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,24,Josko Gvardiol,23.01.2002 (21),Kroatien,"75,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,6,Nathan Aké,18.02.1995 (28),Niederlande,"42,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,5,John Stones,28.05.1994 (29),England,"40,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,25,Manuel Akanji,19.07.1995 (28),Schweiz,"38,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,14,Aymeric Laporte,27.05.1994 (29),Spanien,"25,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,78,Taylor Harwood-Bellis,30.01.2002 (21),England,"25,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,21,Sergio Gómez,04.09.2000 (22),Spanien,"13,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,7,João Cancelo,27.05.1994 (29),Portugal,"50,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,82,Rico Lewis,21.11.2004 (18),England,"20,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Abwehr,2,Kyle Walker,28.05.1990 (33),England,"13,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Mittelfeld,16,Rodri,22.06.1996 (27),Spanien,"90,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Mittelfeld,4,Kalvin Phillips,02.12.1995 (27),England,"32,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Mittelfeld,32,Máximo Perrone,07.01.2003 (20),Argentinien,"10,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Mittelfeld,8,Mateo Kovacic,06.05.1994 (29),Kroatien,"38,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Mittelfeld,87,James McAtee,18.10.2002 (20),England,"12,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Mittelfeld,20,Bernardo Silva,10.08.1994 (29),Portugal,"80,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Mittelfeld,17,Kevin De Bruyne,28.06.1991 (32),Belgien,"70,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Mittelfeld,80,Cole Palmer,06.05.2002 (21),England,"18,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Sturm,47,Phil Foden,28.05.2000 (23),England,"110,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Sturm,10,Jack Grealish,10.09.1995 (27),England,"75,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Sturm,9,Erling Haaland,21.07.2000 (23),Norwegen,"180,00 Mio. €"
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €",Sturm,19,Julián Álvarez,31.01.2000 (23),Argentinien,"60,00 Mio. €"
FC Arsenal,33,"24,7",Premier League,24,22,Emirates Stadium,60.704 Plätze,"-197,75 Mio. €",Torwart,1,Aaron Ramsdale,14.05.1998 (25),England,"40,00 Mio. €"
FC Arsenal,33,"24,7",Premier League,24,22,Emirates Stadium,60.704 Plätze,"-197,75 Mio. €",Torwart,33,Arthur Okonkwo,09.09.2001 (21),England,"2,00 Mio. €"
FC Arsenal,33,"24,7",Premier League,24,22,Emirates Stadium,60.704 Plätze,"-197,75 Mio. €",Torwart,13,Rúnar Alex Rúnarsson,18.02.1995 (28),Island,"1,50 Mio. €"
FC Arsenal,33,"24,7",Premier League,24,22,Emirates Stadium,60.704 Plätze,"-197,75 Mio. €",Torwart,31,Karl Hein,13.04.2002 (21),Estland,"1,50 Mio. €"
FC Arsenal,33,"24,7",Premier League,24,22,Emirates Stadium,60.704 Plätze,"-197,75 Mio. €",Abwehr,2,William Saliba,24.03.2001 (22),Frankreich,"65,00 Mio. €"
FC Arsenal,33,"24,7",Premier League,24,22,Emirates Stadium,60.704 Plätze,"-197,75 Mio. €",Abwehr,6,Gabriel Magalhães,19.12.1997 (25),Brasilien,"55,00 Mio. €"
FC Arsenal,33,"24,7",Premier League,24,22,Emirates Stadium,60.704 Plätze,"-197,75 Mio. €",Abwehr,12,Jurrien Timber,17.06.2001 (22),Niederlande,"42,00 Mio. €"
