club_name,club_number_player,club_avg_age,club_league,club_number_foreign_players,club_number_national_players,club_stadium,club_stadium_seats,club_current_transfer_balance
Manchester City,27,"26,3",Premier League,17,19,Etihad Stadium,55.017 Plätze,"-79,10 Mio. €"
FC Arsenal,33,"24,7",Premier League,24,22,Emirates Stadium,60.704 Plätze,"-197,75 Mio. €"
FC Paris Saint-Germain,39,"25,3",Ligue 1,27,22,Parc des Princes,49.691 Plätze,"-128,00 Mio. €"
Real Madrid,24,"26,7",LaLiga,16,19,Santiago Bernabéu,81.044 Plätze,"-124,50 Mio. €"
FC Chelsea,30,"23,8",Premier League,19,18,Stamford Bridge,40.853 Plätze,"+46,90 Mio. €"
FC Bayern München,27,"25,3",Bundesliga,16,20,Allianz Arena,75.024 Plätze,"+51,75 Mio. €"
Manchester United,36,"25,2",Premier League,23,22,Old Trafford,74.879 Plätze,"-168,60 Mio. €"
FC Barcelona,23,"25,8",LaLiga,12,18,Spotify Camp Nou,99.354 Plätze,"+44,50 Mio. €"
Tottenham Hotspur,35,"25,5",Premier League,24,21,Tottenham Hotspur Stadium,62.062 Plätze,"-182,00 Mio. €"
FC Liverpool,22,"26,3",Premier League,17,14,Anfield,54.074 Plätze,"-51,30 Mio. €"
Newcastle United,30,"27,6",Premier League,16,13,St James' Park,52.338 Plätze,"-108,60 Mio. €"
Aston Villa,28,"26,3",Premier League,18,13,Villa Park,42.682 Plätze,"-85,10 Mio. €"
AC Mailand,32,"25,8",Serie A,25,17,Giuseppe Meazza,75.923 Plätze,"-46,50 Mio. €"
SSC Neapel,30,"25,5",Serie A,18,17,Stadio Diego Armando Maradona,54.726 Plätze,"+7,50 Mio. €"
Atlético Madrid,29,"27,6",LaLiga,17,17,Civitas Metropolitano,67.829 Plätze,"+43,30 Mio. €"
Juventus Turin,35,"25,7",Serie A,19,17,Allianz Stadium,41.507 Plätze,"-41,60 Mio. €"
