club_name,club_league,player_position,player_number,player_name,player_dob,player_country,player_value
Borussia Dortmund,Bundesliga,Torwart,1,Gregor Kobel,06.12.1997 (25),Schweiz,"35,00 Mio. €"
Borussia Dortmund,Bundesliga,Torwart,35,Marcel Lotka,25.05.2001 (22),Deutschland,"1,50 Mio. €"
Borussia Dortmund,Bundesliga,Torwart,33,Alexander Meyer,13.04.1991 (32),Deutschland,"1,00 Mio. €"
Borussia Dortmund,Bundesliga,Torwart,31,Silas Ostrzinski,19.11.2003 (19),Deutschland,150 Tsd. €
Borussia Dortmund,Bundesliga,Abwehr,4,Nico Schlotterbeck,01.12.1999 (23),Deutschland,"40,00 Mio. €"
Borussia Dortmund,Bundesliga,Abwehr,25,Niklas Süle,03.09.1995 (27),Deutschland,"35,00 Mio. €"
Borussia Dortmund,Bundesliga,Abwehr,15,Mats Hummels,16.12.1988 (34),Deutschland,"6,00 Mio. €"
Borussia Dortmund,Bundesliga,Abwehr,44,Soumaïla Coulibaly,14.10.2003 (19),Frankreich,"1,00 Mio. €"
Borussia Dortmund,Bundesliga,Abwehr,47,Antonios Papadopoulos,10.09.1999 (23),Deutschland,600 Tsd. €
Borussia Dortmund,Bundesliga,Abwehr,5,Ramy Bensebaini,16.04.1995 (28),Algerien,"20,00 Mio. €"
Borussia Dortmund,Bundesliga,Abwehr,26,Julian Ryerson,17.11.1997 (25),Norwegen,"13,00 Mio. €"
Borussia Dortmund,Bundesliga,Abwehr,17,Marius Wolf,27.05.1995 (28),Deutschland,"10,00 Mio. €"
Borussia Dortmund,Bundesliga,Abwehr,24,Thomas Meunier,12.09.1991 (31),Belgien,"5,00 Mio. €"
Borussia Dortmund,Bundesliga,Abwehr,2,Mateu Morey Bauzà,02.03.2000 (23),Spanien,"1,00 Mio. €"
Borussia Dortmund,Bundesliga,Mittelfeld,23,Emre Can,12.01.1994 (29),Deutschland,"14,00 Mio. €"
Borussia Dortmund,Bundesliga,Mittelfeld,6,Salih Özcan,11.01.1998 (25),Türkei,"13,00 Mio. €"
Borussia Dortmund,Bundesliga,Mittelfeld,32,Abdoulaye Kamara,06.11.2004 (18),Frankreich,"1,00 Mio. €"
Borussia Dortmund,Bundesliga,Mittelfeld,20,Marcel Sabitzer,17.03.1994 (29),Österreich,"20,00 Mio. €"
Borussia Dortmund,Bundesliga,Mittelfeld,8,Felix Nmecha,10.10.2000 (22),Deutschland,"15,00 Mio. €"
Borussia Dortmund,Bundesliga,Mittelfeld,30,Ole Pohlmann,05.04.2001 (22),Deutschland,400 Tsd. €
Borussia Dortmund,Bundesliga,Mittelfeld,19,Julian Brandt,02.05.1996 (27),Deutschland,"40,00 Mio. €"
Borussia Dortmund,Bundesliga,Mittelfeld,7,Giovanni Reyna,13.11.2002 (20),Vereinigte Staaten,"25,00 Mio. €"
Borussia Dortmund,Bundesliga,Mittelfeld,11,Marco Reus,31.05.1989 (34),Deutschland,"7,00 Mio. €"
Borussia Dortmund,Bundesliga,Sturm,27,Karim Adeyemi,18.01.2002 (21),Deutschland,"40,00 Mio. €"
Borussia Dortmund,Bundesliga,Sturm,43,Jamie Bynoe-Gittens,08.08.2004 (19),England,"14,00 Mio. €"
Borussia Dortmund,Bundesliga,Sturm,10,Thorgan Hazard,29.03.1993 (30),Belgien,"7,00 Mio. €"
Borussia Dortmund,Bundesliga,Sturm,21,Donyell Malen,19.01.1999 (24),Niederlande,"28,00 Mio. €"
Borussia Dortmund,Bundesliga,Sturm,16,Julien Duranville,05.05.2006 (17),Belgien,"8,50 Mio. €"
Borussia Dortmund,Bundesliga,Sturm,9,Sébastien Haller,22.06.1994 (29),Elfenbeinküste,"30,00 Mio. €"
Borussia Dortmund,Bundesliga,Sturm,18,Youssoufa Moukoko,20.11.2004 (18),Deutschland,"30,00 Mio. €"
