club_name,club_number_player,club_avg_age,club_league,club_number_foreign_players,club_number_national_players,club_stadium,club_stadium_seats,club_current_transfer_balance,player_position,player_number,player_name,player_dob,player_country,player_value,player_age,club_country,club_internationality,player_position_scale,player_international
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Torwart,31,Ederson,1993-08-17,Brasilien,40000000.0,29,England,very international,1,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Torwart,18,Stefan Ortega,1992-11-06,Deutschland,9000000.0,30,England,very international,1,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Torwart,13,Zack Steffen,1995-04-02,Vereinigte Staaten,3500000.0,28,England,very international,1,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Torwart,33,Scott Carson,1985-09-03,England,200000.0,37,England,very international,1,0
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,3,Rúben Dias,1997-05-14,Portugal,80000000.0,26,England,very international,2,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,24,Josko Gvardiol,2002-01-23,Kroatien,75000000.0,21,England,very international,2,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,6,Nathan Aké,1995-02-18,Niederlande,42000000.0,28,England,very international,2,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,5,John Stones,1994-05-28,England,40000000.0,29,England,very international,2,0
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,25,Manuel Akanji,1995-07-19,Schweiz,38000000.0,28,England,very international,2,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,14,Aymeric Laporte,1994-05-27,Spanien,25000000.0,29,England,very international,2,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,78,Taylor Harwood-Bellis,2002-01-30,England,25000000.0,21,England,very international,2,0
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,21,Sergio Gómez,2000-09-04,Spanien,13000000.0,22,England,very international,2,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,7,João Cancelo,1994-05-27,Portugal,50000000.0,29,England,very international,2,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,82,Rico Lewis,2004-11-21,England,20000000.0,18,England,very international,2,0
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Abwehr,2,Kyle Walker,1990-05-28,England,13000000.0,33,England,very international,2,0
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Mittelfeld,16,Rodri,1996-06-22,Spanien,90000000.0,27,England,very international,3,1
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,Mittelfeld,4,Kalvin Phillips,1995-12-02,England,32000000.0,27,England,very international,3,0
