club_name,club_number_player,club_avg_age,club_league,club_number_foreign_players,club_number_national_players,club_stadium,club_stadium_seats,club_current_transfer_balance,club_country,club_internationality
Manchester City,27,26.3,Premier League,17,19,Etihad Stadium,55017,-79100000.0,England,very international
FC Arsenal,33,24.7,Premier League,24,22,Emirates Stadium,60704,-197750000.0,England,very international
FC Paris Saint-Germain,39,25.3,Ligue 1,27,22,Parc des Princes,49691,-128000000.0,Frankreich,very international
Real Madrid,24,26.7,LaLiga,16,19,Santiago Bernabéu,81044,-124500000.0,Spanien,very international
FC Chelsea,30,23.8,Premier League,19,18,Stamford Bridge,40853,46900000.0,England,very international
FC Bayern München,27,25.3,Bundesliga,16,20,Allianz Arena,75024,51750000.0,Deutschland,very international
Manchester United,36,25.2,Premier League,23,22,Old Trafford,74879,-168600000.0,England,very international
FC Barcelona,23,25.8,LaLiga,12,18,Spotify Camp Nou,99354,44500000.0,Spanien,very international
Tottenham Hotspur,35,25.5,Premier League,24,21,Tottenham Hotspur Stadium,62062,-182000000.0,England,very international
FC Liverpool,22,26.3,Premier League,17,14,Anfield,54074,-51300000.0,England,very international
Newcastle United,30,27.6,Premier League,16,13,St James' Park,52338,-108600000.0,England,very international
Aston Villa,28,26.3,Premier League,18,13,Villa Park,42682,-85100000.0,England,very international
AC Mailand,32,25.8,Serie A,25,17,Giuseppe Meazza,75923,-46500000.0,Italien,very international
SSC Neapel,30,25.5,Serie A,18,17,Stadio Diego Armando Maradona,54726,7500000.0,Italien,very international
Atlético Madrid,29,27.6,LaLiga,17,17,Civitas Metropolitano,67829,43300000.0,Spanien,very international
Juventus Turin,35,25.7,Serie A,19,17,Allianz Stadium,41507,-41600000.0,Italien,very international
Inter Mailand,26,26.7,Serie A,15,16,Giuseppe Meazza,75923,74000000.0,Italien,very international
Borussia Dortmund,30,24.8,Bundesliga,15,18,SIGNAL IDUNA PARK,81365,59350000.0,Deutschland,very international
Bayer 04 Leverkusen,26,24.2,Bundesliga,19,14,BayArena,30210,16200000.0,Deutschland,very international
