Studienland,Kontinent,Durchschnittstemperatur_2021,Außenhandel_Export_Mrd_2015,Außenhandel_Import_Mrd_2015,1995,2000,2005,2010,2015,2020,2021
Östereich,Europa,"7,35",58.2,37.3,5955,5889,10174,27350,27563,33836,
Niederlande,Europa,"10,39",79.2,87.9,836,3176,11896,23831,21530,24494,
Vereinigtes Königsreich,Europa,"9,38",89,38.4,8233,10115,11600,14950,15410,12670,
Schweiz,Europa,"6,42",49.1,42.1,4560,5142,7839,13436,14647,11932,12375
Vereinigte Staaten,Nordamerika,"10,0",113.7,60.2,9017,10128,8829,9458,10145,5364,8550
Türkei,Europa-Asien,"12,63",22.3,14.5,,96,202,1119,706,4261,
Frankreich,Europa,"11,57",102.8,66.8,5350,5378,6867,6252,6406,3823,
Ungarn,Europa,"11,57",21.8,23.8,458,520,1403,2101,3106,3415,3474
China,Asien,"8,19",71.3,91.9,,200,2736,4239,7536,3400,
Dänemark,Europa,"8,92",17.6,11.8,510,524,1002,2508,3554,3247,
Spanien,Europa,"14,25",38.7,26.4,1283,4111,1478,2714,2497,2067,
Schweden,Europa,"3,02",23,14,700,2033,2999,4134,4620,2037,
Portugal,Europa,"16,09",,,,296,295,420,1422,1732,
Italien,Europa,"13,50",58,49,1233,764,1607,1449,1412,1731,
Rumänien,Europa,"10,35",,,617,170,263,450,898,1686,1775
Bulgarien,Europa,"11,98",,,,26,27,61,722,1585,1732
Polen,Europa,"8,75",52.2,44.7,140,154,344,716,1090,1501,
Griechenland,Europa,"14,89",,,,,289,243,1637,1178,
Kanada,Nordamerika,"-3,71",,,681,769,1083,1434,1827,1095,
Australien,Australien,"22,06",,,180,378,1632,2044,1147,1078,
Lettland,Europa,"6,81",,,,26,67,155,973,1031,1001
Tschechien,Europa,"8,59",36.5,39.2,,28,237,394,569,953,
Slowakei,Europa,"8,78",,13.6,,8,18,424,562,909,
Japan,Asien,"12,36",17,20.2,239,255,352,557,777,833,
Finnland,Europa,"2,30",,,152,190,423,516,657,761,
Irland,Europa,"9,95",,,269,240,443,538,558,675,
Norwegen,Europa,"2,06",,16.2,272,439,570,1004,1306,638,
Litauen,Europa,"7,28",,,,,,10,176,514,570
Luxemburg,Europa,"9,81",,,,,,343,477,451,
Südafrika,Afrika,"18,06",,,,,,,787,425,
Belgien,Europa,"10,47",40.9,36.9,360,375,442,995,930,411,
Argentinien,Südamerika,"15,40",,,,,,,,376,
Russische Federation,Europa-Asien,"-3,64",21.6,30.1,,,170,189,376,256,
Brasilien,Südamerika,"25,58",,,,,,275,318,250,
Kroatien,Europa,"11,95",,,,4,4,10,116,239,
Israel,Asien,"20,87",,,,,,94,202,234,
Neuseeland,Australien,"11,23",,,116,237,970,1458,983,226,
Liechtenstein,Europa,"7,42",,,,,100,119,176,220,
Thailand,Asien,"26,91",,,230,14,85,389,180,176,
Vereinigte Arabische Emirate,Asien,"29,08",14.6,,,,,120,172,172,
Ukraine,Europa,"9,38",,,,,,,59,161,
Island,Europa,"2,40",,,,27,98,167,122,155,
Vatikanstadt,Europa,,,,230,180,161,200,142,124,
